"Geboorte; kerncijfers vruchtbaarheid, leeftijd moeder, regio"
"";"Onderwerpen";"Totaal levend geboren kinderen";"Levend geboren jongens";"Levend geboren meisjes";"Gemiddeld kindertal per vrouw"
"Regio's";"Perioden";"aantal";"aantal";"aantal";"aantal"
"Groningen (PV)";"2010";"5732";"2911";"2821";"1.61"
"Groningen (PV)";"2011";"5853";"2992";"2861";"1.66"
"Groningen (PV)";"2012";"5604";"2832";"2772";"1.59"
"Groningen (PV)";"2013";"5326";"2671";"2655";"1.52"
"Groningen (PV)";"2014";"5414";"2718";"2696";"1.54"
"Friesland (PV)";"2010";"7012";"3576";"3436";"2.00"
"Friesland (PV)";"2011";"6655";"3442";"3213";"1.91"
"Friesland (PV)";"2012";"6502";"3307";"3195";"1.89"
"Friesland (PV)";"2013";"6263";"3241";"3022";"1.84"
"Friesland (PV)";"2014";"6310";"3213";"3097";"1.86"
"Drenthe (PV)";"2010";"4750";"2370";"2380";"1.95"
"Drenthe (PV)";"2011";"4616";"2429";"2187";"1.92"
"Drenthe (PV)";"2012";"4406";"2243";"2163";"1.86"
"Drenthe (PV)";"2013";"4174";"2093";"2081";"1.78"
"Drenthe (PV)";"2014";"4302";"2209";"2093";"1.84"
"Overijssel (PV)";"2010";"13180";"6721";"6459";"1.95"
"Overijssel (PV)";"2011";"12651";"6435";"6216";"1.89"
"Overijssel (PV)";"2012";"12367";"6290";"6077";"1.86"
"Overijssel (PV)";"2013";"12151";"6206";"5945";"1.84"
"Overijssel (PV)";"2014";"12092";"6213";"5879";"1.84"
"Flevoland (PV)";"2010";"5310";"2702";"2608";"2.04"
"Flevoland (PV)";"2011";"5090";"2602";"2488";"1.95"
"Flevoland (PV)";"2012";"4991";"2526";"2465";"1.91"
"Flevoland (PV)";"2013";"4687";"2418";"2269";"1.80"
"Flevoland (PV)";"2014";"4922";"2448";"2474";"1.89"
"Gelderland (PV)";"2010";"21142";"10774";"10368";"1.83"
"Gelderland (PV)";"2011";"20557";"10597";"9960";"1.80"
"Gelderland (PV)";"2012";"19835";"10108";"9727";"1.75"
"Gelderland (PV)";"2013";"19683";"10228";"9455";"1.74"
"Gelderland (PV)";"2014";"19851";"10205";"9646";"1.76"
"Utrecht (PV)";"2010";"15429";"7827";"7602";"1.82"
"Utrecht (PV)";"2011";"14829";"7662";"7167";"1.76"
"Utrecht (PV)";"2012";"14878";"7659";"7219";"1.77"
"Utrecht (PV)";"2013";"14313";"7327";"6986";"1.71"
"Utrecht (PV)";"2014";"14821";"7534";"7287";"1.76"
"Noord-Holland (PV)";"2010";"31593";"16077";"15516";"1.72"
"Noord-Holland (PV)";"2011";"30336";"15620";"14716";"1.66"
"Noord-Holland (PV)";"2012";"29791";"15258";"14533";"1.63"
"Noord-Holland (PV)";"2013";"29312";"15090";"14222";"1.59"
"Noord-Holland (PV)";"2014";"29959";"15250";"14709";"1.62"
"Zuid-Holland (PV)";"2010";"41387";"21299";"20088";"1.78"
"Zuid-Holland (PV)";"2011";"41408";"21156";"20252";"1.78"
"Zuid-Holland (PV)";"2012";"40814";"21053";"19761";"1.75"
"Zuid-Holland (PV)";"2013";"39350";"20256";"19094";"1.69"
"Zuid-Holland (PV)";"2014";"40779";"21033";"19746";"1.74"
"Zeeland (PV)";"2010";"3697";"1919";"1778";"1.89"
"Zeeland (PV)";"2011";"3762";"1934";"1828";"1.94"
"Zeeland (PV)";"2012";"3635";"1835";"1800";"1.89"
"Zeeland (PV)";"2013";"3513";"1793";"1720";"1.83"
"Zeeland (PV)";"2014";"3647";"1857";"1790";"1.89"
"Noord-Brabant (PV)";"2010";"25545";"13068";"12477";"1.79"
"Noord-Brabant (PV)";"2011";"25015";"12752";"12263";"1.76"
"Noord-Brabant (PV)";"2012";"24027";"12414";"11613";"1.70"
"Noord-Brabant (PV)";"2013";"23558";"12099";"11459";"1.66"
"Noord-Brabant (PV)";"2014";"24243";"12334";"11909";"1.70"
"Limburg (PV)";"2010";"9620";"4885";"4735";"1.64"
"Limburg (PV)";"2011";"9288";"4732";"4556";"1.60"
"Limburg (PV)";"2012";"9109";"4655";"4454";"1.56"
"Limburg (PV)";"2013";"9011";"4535";"4476";"1.55"
"Limburg (PV)";"2014";"8841";"4496";"4345";"1.51"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 17-10-2017"
